LEAID,lea_name,urbanicity
400621,Pinnacle Education-Tempe Inc. (81001),Non-Urban
400625,Pinnacle Education-Kino Inc. (81009),Non-Urban
400626,Pinnacle Education-Casa Grande Inc. (81011),Non-Urban
400630,Alpine Elementary District (4161),Urban
400632,Cochise Community Development Corporation (81027),Non-Urban
400633,Canyon Rose Academy Inc. (81029),Non-Urban
400636,Blueprint Education (81041),Non-Urban
400637,Edkey Inc. - Redwood Academy (81043),Non-Urban
400638,Edkey Inc. - Pathfinder Academy (81045),Non-Urban
400640,Edkey Inc. - Sequoia School for the Deaf and Hard (81050),Non-Urban
400641,Edkey Inc. - Sequoia Ranch School (81052),Non-Urban
400649,Heritage Elementary School (81076),Non-Urban
400653,Edkey Inc. - Arizona Conservatory for Arts and Ac (79981),Non-Urban
400655,Veritas Preparatory Academy (80992),Non-Urban
400680,Amphitheater Unified District (4406),Urban
400720,Antelope Union High School District (4506),Urban
400745,Legacy Traditional School - Maricopa (88360),Non-Urban
400746,Eduprize Schools LLC (89412),Non-Urban
400747,Scottsdale Preparatory Academy (89756),Non-Urban
400748,Sage Academy Inc. (89414),Non-Urban
400750,Apache Elementary District (4178),Urban
400751,Concordia Charter School Inc. (89556),Non-Urban
400752,Pima County JTED (89380),Non-Urban
400754,Imagine Desert West Middle Inc. (89563),Non-Urban
400755,Freedom Academy Inc. (89506),Non-Urban
400756,Imagine Camelback Middle Inc. (89561),Non-Urban
400757,Arete Preparatory Academy (89486),Non-Urban
400758,Candeo Schools Inc. (89758),Non-Urban
400760,Glendale Preparatory Academy (89829),Non-Urban
400763,EAGLE South Mountain Charter Inc. (89850),Non-Urban
400764,ASU Preparatory Academy (89949),Non-Urban
400766,Imagine Coolidge Elementary Inc. (89786),Non-Urban
400768,Pima Prevention Partnership dba Pima Partnership A (89864),Non-Urban
400769,Imagine Prep Coolidge Inc. (90034),Non-Urban
400770,Imagine Prep Surprise Inc. (89790),Non-Urban
400771,Blue Adobe Project (89871),Non-Urban
400772,Mountain Institute CTED #2 (90090),Non-Urban
400774,Daisy Education Corporation dba Sonoran Science Ac (89915),Non-Urban
400775,San Tan Montessori School Inc. (89798),Non-Urban
400776,Daisy Education Corporation dba Sonoran Science Ac (89914),Non-Urban
400778,Daisy Education Corporation dba Paragon Science Ac (89917),Non-Urban
400780,Imagine Avondale Elementary Inc. (89784),Non-Urban
400781,Math and Science Success Academy Inc. (89852),Non-Urban
400782,Haven Montessori Children's House Inc. (89951),Non-Urban
400783,Imagine Prep Superstition Inc. (89788),Non-Urban
400785,AZ Compass Schools Inc. (89869),Non-Urban
